<S> <S>+BSTag
"Ne	ne <prn> <qst> <3s>
"Ne	ne <prn> <qst> <3p>
"Ne	ne <cnjcoo>
düşünüyorsun?"	<unk>
“Affedersiniz,	<unk>
sanırım	<unk>
beşinci	beş <num> <D_IncI> <adj> <Djn_0> <n>
beşinci	beş <num> <D_IncI> <adj> <Djn_0> <n> <3s>
beşinci	beş <num> <D_IncI> <adj> <Djn_0> <n> <3p>
viraja	viraj <n> <dat> <3s>
viraja	viraj <n> <dat> <3p>
gelmiştiniz.”	<unk>
Fare,	fare <n> <3s>
Fare,	fare <n> <3p>
sert	sert <adj> <Djn_0> <n>
sert	sert <adj> <Djn_0> <n> <3s>
sert	sert <adj> <Djn_0> <n> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
tavırla:	tavır <n> <D_lA> <v> <t_imp> <3p>
tavırla:	tavır <n> <ins>
tavırla:	tavır <n> <ins> <3s>
tavırla:	tavır <n> <ins> <3p>
“Söylemedim,”	<unk>
diye	de <v> <t_opt> <3p>
diye	diye <cnjsub>
bağırdı.	bağır <n> <cpl_di> <3p>
bağırdı.	bağır <n> <3p> <cpl_di>
bağırdı.	bağır <v> <t_past> <3s>
bağırdı.	bağır <v> <t_past> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
“Bir	<unk>
düğüm,”	<unk>
dedi	de <v> <t_past> <3p>
Alice,	ali <n> <D_CA> <adj> <Djn_0> <n>
Alice,	ali <n> <D_CA> <adj> <Djn_0> <n> <3s>
Alice,	ali <n> <D_CA> <adj> <Djn_0> <n> <3p>
Alice,	ali <n> <D_CA> <adv>
Alice,	ali <n> <D_CA> <adv> <Dan_0> <n>
Alice,	ali <n> <D_CA> <adv> <Dan_0> <n> <3s>
Alice,	ali <n> <D_CA> <adv> <Dan_0> <n> <3p>
Alice,	ali <n> <D_CA> <n>
Alice,	ali <n> <D_CA> <n> <3s>
Alice,	ali <n> <D_CA> <n> <3p>
her	<unk>
zaman	zaman <n> <3s>
zaman	zaman <n> <3p>
işe	işe <v> <t_imp> <3p>
işe	iş <n> <dat>
işe	iş <n> <dat> <3s>
işe	iş <n> <dat> <3p>
yaramaya	yara <v> <D_mA> <n> <dat> <3s>
yaramaya	yara <v> <D_mA> <n> <dat> <3p>
yaramaya	yara <v> <neg> <t_opt> <3s>
yaramaya	yara <v> <neg> <t_opt> <3p>
yaramaya	yara <v> <vn_ma> <dat>
yaramaya	yara <v> <vn_ma> <dat> <3s>
yaramaya	yara <v> <vn_ma> <dat> <3p>
yaramaya	yara <v> <vn_mak> <dat>
yaramaya	yara <v> <vn_mak> <dat> <3s>
yaramaya	yara <v> <vn_mak> <dat> <3p>
yaramaya	yara <v> <vinf> <dat>
yaramaya	yar <v> <abil> <neg> <t_opt> <3s>
yaramaya	yar <v> <abil> <neg> <t_opt> <3p>
hazır,	hazır <adj> <Djn_0> <n>
hazır,	hazır <adj> <Djn_0> <n> <3s>
hazır,	hazır <adj> <Djn_0> <n> <3p>
hazır,	hazır <n>
hazır,	hazır <n> <3s>
hazır,	hazır <n> <3p>
kaygıyla	kaygı <n> <ins> <3s>
kaygıyla	kaygı <n> <ins> <3p>
etrafına	etraf <n> <p2s> <dat> <3s>
etrafına	etraf <n> <p2s> <dat> <3p>
etrafına	etraf <n> <p3s> <dat>
etrafına	etraf <n> <p3s> <dat> <3s>
etrafına	etraf <n> <p3s> <dat> <3p>
bakınarak,	<unk>
“Ah,	<unk>
izin	izin <n> <3s>
izin	izin <n> <3p>
izin	iz <n> <p2s>
izin	iz <n> <p2s> <3s>
izin	iz <n> <p2s> <3p>
izin	iz <n> <gen>
izin	iz <n> <gen> <3s>
izin	iz <n> <gen> <3p>
verin,	veri <n> <p2s> <3s>
verin,	veri <n> <p2s> <3p>
verin,	ver <v> <t_imp> <2p>
şu	şu <prn> <dem> <3s>
şu	şu <prn> <dem> <3p>
şu	şu <det>
düğümü	düğüm <n> <p3s> <3s>
düğümü	düğüm <n> <p3s> <3p>
düğümü	düğüm <n> <acc>
düğümü	düğüm <n> <acc> <3s>
düğümü	düğüm <n> <acc> <3p>
düğümü	düğü <n> <p1s> <acc>
düğümü	düğü <n> <p1s> <acc> <3s>
düğümü	düğü <n> <p1s> <acc> <3p>
çözeyim.”	<unk>
Fare,	fare <n> <3s>
Fare,	fare <n> <3p>
"Ben	ben <prn> <pers> <3s>
"Ben	ben <prn> <pers> <3p>
öyle	öyle <adj> <Djn_0> <n>
öyle	öyle <adj> <Djn_0> <n> <3s>
öyle	öyle <adj> <Djn_0> <n> <3p>
öyle	öyle <adv>
öyle	öyle <adv> <Dan_0> <n>
öyle	öyle <adv> <Dan_0> <n> <3s>
öyle	öyle <adv> <Dan_0> <n> <3p>
öyle	öyle <ij>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
şey	şey <n> <3s>
şey	şey <n> <3p>
yapmam"	yapma <adj> <Djn_0> <n> <p1s> <3s>
yapmam"	yapma <adj> <Djn_0> <n> <p1s> <3p>
yapmam"	yap <v> <D_mA> <n> <p1s>
yapmam"	yap <v> <D_mA> <n> <p1s> <3s>
yapmam"	yap <v> <D_mA> <n> <p1s> <3p>
yapmam"	yap <v> <neg> <t_aor> <1s>
yapmam"	yap <v> <vn_ma> <p1s>
yapmam"	yap <v> <vn_ma> <p1s> <3s>
yapmam"	yap <v> <vn_ma> <p1s> <3p>
dedi.	de <v> <t_past> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
Kalkıp	<unk>
oradan	ora <prn> <locp> <abl> <3s>
oradan	ora <prn> <locp> <abl> <3p>
uzaklaşıyordu.	uzak <adj> <D_lAs> <v> <t_cont> <cpl_di> <3p>
uzaklaşıyordu.	uzak <adj> <D_lAs> <v> <t_cont> <3p> <cpl_di>
uzaklaşıyordu.	uzak <adj> <Djn_0> <n> <D_lAs> <v> <t_cont> <cpl_di> <3s>
uzaklaşıyordu.	uzak <adj> <Djn_0> <n> <D_lAs> <v> <t_cont> <cpl_di> <3p>
uzaklaşıyordu.	uzak <adj> <Djn_0> <n> <D_lAs> <v> <t_cont> <3p> <cpl_di>
</S> </S>+ESTag
<S> <S>+BSTag
"Böyle	böyle <adj> <Djn_0> <n>
"Böyle	böyle <adj> <Djn_0> <n> <3s>
"Böyle	böyle <adj> <Djn_0> <n> <3p>
"Böyle	böyle <adv>
"Böyle	böyle <adv> <Dan_0> <n>
"Böyle	böyle <adv> <Dan_0> <n> <3s>
"Böyle	böyle <adv> <Dan_0> <n> <3p>
"Böyle	böyle <ij>
saçma	saçma <adj> <Djn_0> <n>
saçma	saçma <adj> <Djn_0> <n> <3s>
saçma	saçma <adj> <Djn_0> <n> <3p>
saçma	saç <v> <D_mA> <n>
saçma	saç <v> <D_mA> <n> <3s>
saçma	saç <v> <D_mA> <n> <3p>
saçma	saç <v> <neg> <t_imp> <2s>
saçma	saç <v> <neg> <t_imp> <3p>
saçma	saç <v> <vn_ma>
