<S> <S>+BSTag
"Ama	ama <n> <3s>
"Ama	ama <n> <3p>
"Ama	ama <cnjcoo>
"Ama	ama <cnjadv>
domuzun	domuz <n> <p2s> <3s>
domuzun	domuz <n> <p2s> <3p>
domuzun	domuz <n> <gen>
domuzun	domuz <n> <gen> <3s>
domuzun	domuz <n> <gen> <3p>
domuzun	do <n> <p1p> <gen>
domuzun	do <n> <p1p> <gen> <3s>
domuzun	do <n> <p1p> <gen> <3p>
yakışıklı	yakışıklı <n> <3s>
yakışıklı	yakışıklı <n> <3p>
yakışıklı	yakışık <n> <D_lI> <adj>
yakışıklı	yakışık <n> <D_lI> <adj> <Djn_0> <n>
yakışıklı	yakışık <n> <D_lI> <adj> <Djn_0> <n> <3s>
yakışıklı	yakışık <n> <D_lI> <adj> <Djn_0> <n> <3p>
yakışıklı	yakışık <n> <D_lI> <n>
yakışıklı	yakışık <n> <D_lI> <n> <3s>
yakışıklı	yakışık <n> <D_lI> <n> <3p>
olduğunu	ol <v> <vn_dik> <p2s> <acc> <3s>
olduğunu	ol <v> <vn_dik> <p2s> <acc> <3p>
olduğunu	ol <v> <vn_dik> <p3s> <acc>
olduğunu	ol <v> <vn_dik> <p3s> <acc> <3s>
olduğunu	ol <v> <vn_dik> <p3s> <acc> <3p>
olduğunu	ol <v> <part_dik> <p2s> <acc>
olduğunu	ol <v> <part_dik> <p2s> <acc> <3s>
olduğunu	ol <v> <part_dik> <p2s> <acc> <3p>
olduğunu	ol <v> <part_dik> <p3s> <acc>
olduğunu	ol <v> <part_dik> <p3s> <acc> <3s>
olduğunu	ol <v> <part_dik> <p3s> <acc> <3p>
olduğunu	ol <v> <cv_dik> <p3s> <acc>
düşünüyorum."	<unk>
Tanıdığı	tanıdık <adj> <Djn_0> <n> <p3s> <3s>
Tanıdığı	tanıdık <adj> <Djn_0> <n> <p3s> <3p>
Tanıdığı	tanıdık <adj> <Djn_0> <n> <acc>
Tanıdığı	tanıdık <adj> <Djn_0> <n> <acc> <3s>
Tanıdığı	tanıdık <adj> <Djn_0> <n> <acc> <3p>
Tanıdığı	tanı <v> <vn_dik> <p3s>
Tanıdığı	tanı <v> <vn_dik> <p3s> <3s>
Tanıdığı	tanı <v> <vn_dik> <p3s> <3p>
Tanıdığı	tanı <v> <vn_dik> <acc>
Tanıdığı	tanı <v> <vn_dik> <acc> <3s>
Tanıdığı	tanı <v> <vn_dik> <acc> <3p>
Tanıdığı	tanı <v> <part_dik> <p3s>
Tanıdığı	tanı <v> <part_dik> <p3s> <3s>
Tanıdığı	tanı <v> <part_dik> <p3s> <3p>
Tanıdığı	tanı <v> <part_dik> <acc>
Tanıdığı	tanı <v> <part_dik> <acc> <3s>
Tanıdığı	tanı <v> <part_dik> <acc> <3p>
Tanıdığı	tanı <v> <cv_dik> <p3s>
diğer	diğer <adj> <Djn_0> <n>
diğer	diğer <adj> <Djn_0> <n> <3s>
diğer	diğer <adj> <Djn_0> <n> <3p>
diğer	diğer <det>
çocukları	çocuk <n> <pl> <p3s> <3s>
çocukları	çocuk <n> <pl> <p3s> <3p>
çocukları	çocuk <n> <pl> <acc>
çocukları	çocuk <n> <pl> <acc> <3s>
çocukları	çocuk <n> <pl> <acc> <3p>
çocukları	çocuk <n> <p3p>
çocukları	çocuk <n> <p3p> <3s>
çocukları	çocuk <n> <p3p> <3p>
düşünmeye	düşün <v> <D_mA> <n> <dat> <3s>
düşünmeye	düşün <v> <D_mA> <n> <dat> <3p>
düşünmeye	düşün <v> <neg> <t_opt> <3s>
düşünmeye	düşün <v> <neg> <t_opt> <3p>
düşünmeye	düşün <v> <vn_ma> <dat>
düşünmeye	düşün <v> <vn_ma> <dat> <3s>
düşünmeye	düşün <v> <vn_ma> <dat> <3p>
düşünmeye	düşün <v> <vn_mak> <dat>
düşünmeye	düşün <v> <vn_mak> <dat> <3s>
düşünmeye	düşün <v> <vn_mak> <dat> <3p>
düşünmeye	düşün <v> <vinf> <dat>
başladı,	baş <n> <D_lA> <v> <t_past> <3p>
kim	kim <prn> <qst> <3s>
kim	kim <prn> <qst> <3p>
domuz	domuz <n> <3s>
domuz	domuz <n> <3p>
domuz	do <n> <p1s> <1p>
domuz	do <n> <p1p>
domuz	do <n> <p1p> <3s>
domuz	do <n> <p1p> <3p>
gibi	gibi <cnjsub>
iyi	iyi <adj> <Djn_0> <n>
iyi	iyi <adj> <Djn_0> <n> <3s>
iyi	iyi <adj> <Djn_0> <n> <3p>
iyi	iyi <adv>
iyi	iyi <adv> <Dan_0> <n>
iyi	iyi <adv> <Dan_0> <n> <3s>
iyi	iyi <adv> <Dan_0> <n> <3p>
yapabilirdi,	yap <v> <abil> <t_aor> <cpl_di> <3p>
yapabilirdi,	yap <v> <abil> <t_aor> <3p> <cpl_di>
kendi	kendi <n> <3s>
kendi	kendi <n> <3p>
kendi	kendi <prn>
kendi	kendi <prn> <3s>
kendi	kendi <prn> <3p>
kendine,	kendi <n> <p2s> <dat> <3s>
kendine,	kendi <n> <p2s> <dat> <3p>
kendine,	kendi <prn> <p2s> <dat>
kendine,	kendi <prn> <p2s> <dat> <3s>
kendine,	kendi <prn> <p2s> <dat> <3p>
“Keşke	<unk>
onları	onlar <prn> <pers> <p3s> <3s>
onları	onlar <prn> <pers> <p3s> <3p>
onları	onlar <prn> <pers> <acc>
onları	onlar <prn> <pers> <acc> <3s>
onları	onlar <prn> <pers> <acc> <3p>
onları	on <n> <pl> <p3s>
onları	on <n> <pl> <p3s> <3s>
onları	on <n> <pl> <p3s> <3p>
onları	on <n> <pl> <acc>
onları	on <n> <pl> <acc> <3s>
onları	on <n> <pl> <acc> <3p>
onları	on <n> <p3p>
onları	on <n> <p3p> <3s>
onları	on <n> <p3p> <3p>
onları	on <num> <Dmn_0> <n> <pl> <p3s>
onları	on <num> <Dmn_0> <n> <pl> <p3s> <3s>
onları	on <num> <Dmn_0> <n> <pl> <p3s> <3p>
onları	on <num> <Dmn_0> <n> <pl> <acc>
onları	on <num> <Dmn_0> <n> <pl> <acc> <3s>
onları	on <num> <Dmn_0> <n> <pl> <acc> <3p>
onları	on <num> <Dmn_0> <n> <p3p>
onları	on <num> <Dmn_0> <n> <p3p> <3s>
onları	on <num> <Dmn_0> <n> <p3p> <3p>
onları	o <prn> <pers> <pl> <p3s>
onları	o <prn> <pers> <pl> <p3s> <3s>
onları	o <prn> <pers> <pl> <p3s> <3p>
onları	o <prn> <pers> <pl> <acc>
onları	o <prn> <pers> <pl> <acc> <3s>
onları	o <prn> <pers> <pl> <acc> <3p>
onları	o <prn> <pers> <p3p>
onları	o <prn> <pers> <p3p> <3s>
onları	o <prn> <pers> <p3p> <3p>
değiştirmenin	değiş <v> <caus> <vn_ma> <p2s> <gen> <3s>
değiştirmenin	değiş <v> <caus> <vn_ma> <p2s> <gen> <3p>
değiştirmenin	değiş <v> <caus> <vn_ma> <gen>
değiştirmenin	değiş <v> <caus> <vn_ma> <gen> <3s>
değiştirmenin	değiş <v> <caus> <vn_ma> <gen> <3p>
doğru	doğru <adj> <Djn_0> <n>
doğru	doğru <adj> <Djn_0> <n> <3s>
doğru	doğru <adj> <Djn_0> <n> <3p>
doğru	doğru <postp>
yolunu	yol <n> <p2s> <acc> <3s>
yolunu	yol <n> <p2s> <acc> <3p>
yolunu	yol <n> <p3s> <acc>
yolunu	yol <n> <p3s> <acc> <3s>
yolunu	yol <n> <p3s> <acc> <3p>
bilen	bil <v> <part_yan> <3s>
bilen	bil <v> <part_yan> <3p>
olsaydı,”	<unk>
diyordu,	de <v> <t_cont> <cpl_di> <3p>
diyordu,	de <v> <t_cont> <3p> <cpl_di>
o	o <prn> <pers> <3s>
o	o <prn> <pers> <3p>
o	o <ij>
o	o <det>
sırada	sıra <n> <loc> <3s>
sırada	sıra <n> <loc> <3p>
Cheshire	<unk>
Kedisi’nin	<unk>
birkaç	birkaç <adj> <Djn_0> <n>
birkaç	birkaç <adj> <Djn_0> <n> <3s>
birkaç	birkaç <adj> <Djn_0> <n> <3p>
birkaç	birkaç <det>
metre	metre <n> <3s>
metre	metre <n> <3p>
ötede	öte <adv> <Dan_0> <n> <loc> <3s>
ötede	öte <adv> <Dan_0> <n> <loc> <3p>
ötede	öte <n> <loc>
ötede	öte <n> <loc> <3s>
ötede	öte <n> <loc> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
ağacın	ağaç <n> <p2s> <3s>
ağacın	ağaç <n> <p2s> <3p>
ağacın	ağaç <n> <gen>
ağacın	ağaç <n> <gen> <3s>
ağacın	ağaç <n> <gen> <3p>
ağacın	ağa <n> <D_CI> <adj> <Djn_0> <n> <p2s>
ağacın	ağa <n> <D_CI> <adj> <Djn_0> <n> <p2s> <3s>
ağacın	ağa <n> <D_CI> <adj> <Djn_0> <n> <p2s> <3p>
ağacın	ağa <n> <D_CI> <n> <p2s>
ağacın	ağa <n> <D_CI> <n> <p2s> <3s>
ağacın	ağa <n> <D_CI> <n> <p2s> <3p>
dallarında	dal <n> <pl> <p2s> <loc> <3s>
dallarında	dal <n> <pl> <p2s> <loc> <3p>
dallarında	dal <n> <pl> <p3s> <loc>
dallarında	dal <n> <pl> <p3s> <loc> <3s>
dallarında	dal <n> <pl> <p3s> <loc> <3p>
dallarında	dal <n> <p3p> <loc>
dallarında	dal <n> <p3p> <loc> <3s>
dallarında	dal <n> <p3p> <loc> <3p>
oturduğunu	otur <v> <vn_dik> <p2s> <acc> <3s>
oturduğunu	otur <v> <vn_dik> <p2s> <acc> <3p>
oturduğunu	otur <v> <vn_dik> <p3s> <acc>
oturduğunu	otur <v> <vn_dik> <p3s> <acc> <3s>
oturduğunu	otur <v> <vn_dik> <p3s> <acc> <3p>
oturduğunu	otur <v> <part_dik> <p2s> <acc>
oturduğunu	otur <v> <part_dik> <p2s> <acc> <3s>
oturduğunu	otur <v> <part_dik> <p2s> <acc> <3p>
oturduğunu	otur <v> <part_dik> <p3s> <acc>
oturduğunu	otur <v> <part_dik> <p3s> <acc> <3s>
oturduğunu	otur <v> <part_dik> <p3s> <acc> <3p>
oturduğunu	otur <v> <cv_dik> <p3s> <acc>
görünce	görü <n> <ca>
görünce	gör <v> <cv_ince>
biraz	biraz <adj> <Djn_0> <n>
biraz	biraz <adj> <Djn_0> <n> <3s>
biraz	biraz <adj> <Djn_0> <n> <3p>
biraz	biraz <adv>
biraz	biraz <adv> <Dan_0> <n>
biraz	biraz <adv> <Dan_0> <n> <3s>
biraz	biraz <adv> <Dan_0> <n> <3p>
biraz	biraz <det>
şaşırdı.	şaşır <v> <t_past> <3p>
şaşırdı.	şaş <v> <caus> <t_past> <3s>
şaşırdı.	şaş <v> <caus> <t_past> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
Kedi,	kedi <n> <3s>
Kedi,	kedi <n> <3p>
Alis’i	<unk>
görünce	görü <n> <ca>
görünce	gör <v> <cv_ince>
