<S> <S>+BSTag
Ve	ve <cnjadv>
yönler	yön <n> <D_lA> <v> <t_aor> <3p>
yönler	yön <n> <3p>
yönler	yön <n> <pl>
yönler	yön <n> <pl> <3s>
yönler	yön <n> <pl> <3p>
de	de <v> <t_imp> <2s>
de	de <v> <t_imp> <3p>
ne	ne <prn> <qst> <3s>
ne	ne <prn> <qst> <3p>
ne	ne <cnjcoo>
garip	garip <n> <3s>
garip	garip <n> <3p>
olacak!	ol <v> <t_fut> <3p>
olacak!	ol <v> <vn_acak>
olacak!	ol <v> <vn_acak> <3s>
olacak!	ol <v> <vn_acak> <3p>
olacak!	ol <v> <part_acak>
olacak!	ol <v> <part_acak> <3s>
olacak!	ol <v> <part_acak> <3p>
olacak!	ol <v> <cv_acak>
olacak!	ol <v> <cv_ecek>
</S> </S>+ESTag
<S> <S>+BSTag
Alice'in	<unk>
Sağ	sağ <adj> <Djn_0> <n>
Sağ	sağ <adj> <Djn_0> <n> <3s>
Sağ	sağ <adj> <Djn_0> <n> <3p>
Sağ	sağ <n>
Sağ	sağ <n> <3s>
Sağ	sağ <n> <3p>
Sağ	sağ <v> <t_imp> <2s>
Sağ	sağ <v> <t_imp> <3p>
Ayağı,	ayak <n> <p3s> <3s>
Ayağı,	ayak <n> <p3s> <3p>
Ayağı,	ayak <n> <acc>
Ayağı,	ayak <n> <acc> <3s>
Ayağı,	ayak <n> <acc> <3p>
Esq.	<unk>
</S> </S>+ESTag
<S> <S>+BSTag
Çamurluk	çamur <n> <D_lIK> <n> <3s>
Çamurluk	çamur <n> <D_lIK> <n> <3p>
yakınlarında,	yakın <adj> <Djn_0> <n> <pl> <p2s> <loc> <3s>
yakınlarında,	yakın <adj> <Djn_0> <n> <pl> <p2s> <loc> <3p>
yakınlarında,	yakın <adj> <Djn_0> <n> <pl> <p3s> <loc>
yakınlarında,	yakın <adj> <Djn_0> <n> <pl> <p3s> <loc> <3s>
yakınlarında,	yakın <adj> <Djn_0> <n> <pl> <p3s> <loc> <3p>
yakınlarında,	yakın <adj> <Djn_0> <n> <p3p> <loc>
yakınlarında,	yakın <adj> <Djn_0> <n> <p3p> <loc> <3s>
yakınlarında,	yakın <adj> <Djn_0> <n> <p3p> <loc> <3p>
(Alice’in	<unk>
sevgisiyle).	sevgi <n> <p3s> <ins> <3s>
sevgisiyle).	sevgi <n> <p3s> <ins> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
Aman	aman <n> <3s>
Aman	aman <n> <3p>
Aman	aman <ij>
Aman	ama <n> <p2s>
Aman	ama <n> <p2s> <3s>
Aman	ama <n> <p2s> <3p>
Allahım,	<unk>
ne	ne <prn> <qst> <3s>
ne	ne <prn> <qst> <3p>
ne	ne <cnjcoo>
saçmalıyorum	saçma <adj> <D_lA> <v> <t_cont> <1s>
saçmalıyorum	saçma <adj> <Djn_0> <n> <D_lA> <v> <t_cont> <1s>
saçmalıyorum	saç <v> <D_mA> <n> <D_lA> <v> <t_cont> <1s>
ben	ben <prn> <pers> <3s>
ben	ben <prn> <pers> <3p>
böyle!”	<unk>
Tam	tam <adj> <Djn_0> <n>
Tam	tam <adj> <Djn_0> <n> <3s>
Tam	tam <adj> <Djn_0> <n> <3p>
o	o <prn> <pers> <3s>
o	o <prn> <pers> <3p>
o	o <ij>
o	o <det>
sırada	sıra <n> <loc> <3s>
sırada	sıra <n> <loc> <3p>
kafası	kafa <n> <p3s> <3s>
kafası	kafa <n> <p3s> <3p>
