<S> <S>+BSTag
"Sen	sen <prn> <pers> <3s>
"Sen	sen <prn> <pers> <3p>
de	de <v> <t_imp> <2s>
de	de <v> <t_imp> <3p>
büyüyorsun	<unk>
biliyorsun."	bil <v> <t_cont> <2s>
Ninni	ninni <n> <3s>
Ninni	ninni <n> <3p>
fare:	fare <n> <3s>
fare:	fare <n> <3p>
“Evet,	<unk>
ama	ama <n> <3s>
ama	ama <n> <3p>
ama	ama <cnjcoo>
ama	ama <cnjadv>
ben	ben <prn> <pers> <3s>
ben	ben <prn> <pers> <3p>
de	de <v> <t_imp> <2s>
de	de <v> <t_imp> <3p>
makul	<unk>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
hızla	hız <n> <D_lA> <v> <t_imp> <3p>
hızla	hız <n> <ins>
hızla	hız <n> <ins> <3s>
hızla	hız <n> <ins> <3p>
büyüyorum,”	<unk>
dedi,	de <v> <t_past> <3p>
“o	<unk>
kadar	<unk>
saçma	saçma <adj> <Djn_0> <n>
saçma	saçma <adj> <Djn_0> <n> <3s>
saçma	saçma <adj> <Djn_0> <n> <3p>
saçma	saç <v> <D_mA> <n>
saçma	saç <v> <D_mA> <n> <3s>
saçma	saç <v> <D_mA> <n> <3p>
saçma	saç <v> <neg> <t_imp> <2s>
saçma	saç <v> <neg> <t_imp> <3p>
saçma	saç <v> <vn_ma>
saçma	saç <v> <vn_ma> <3s>
saçma	saç <v> <vn_ma> <3p>
saçma	saç <v> <cv_ma>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
şekilde	şekil <n> <loc> <3s>
şekilde	şekil <n> <loc> <3p>
değil.”	<unk>
Ayağa	ayak <n> <dat> <3s>
Ayağa	ayak <n> <dat> <3p>
kalktı,	kalk <v> <t_past> <3p>
suratını	surat <n> <p2s> <acc> <3s>
suratını	surat <n> <p2s> <acc> <3p>
suratını	surat <n> <p3s> <acc>
suratını	surat <n> <p3s> <acc> <3s>
suratını	surat <n> <p3s> <acc> <3p>
asarak	<unk>
mahkemenin	mahkeme <n> <p2s> <gen> <3s>
mahkemenin	mahkeme <n> <p2s> <gen> <3p>
mahkemenin	mahkeme <n> <gen>
mahkemenin	mahkeme <n> <gen> <3s>
mahkemenin	mahkeme <n> <gen> <3p>
öbür	öbür <adj> <Djn_0> <n>
öbür	öbür <adj> <Djn_0> <n> <3s>
öbür	öbür <adj> <Djn_0> <n> <3p>
öbür	öbür <det>
tarafına	taraf <n> <p2s> <dat> <3s>
tarafına	taraf <n> <p2s> <dat> <3p>
tarafına	taraf <n> <p3s> <dat>
tarafına	taraf <n> <p3s> <dat> <3s>
tarafına	taraf <n> <p3s> <dat> <3p>
geçti.	geç <adj> <Djn_0> <n> <cpl_di> <3p>
geçti.	geç <adj> <Djn_0> <n> <3p> <cpl_di>
geçti.	geç <adv> <Dan_0> <n> <cpl_di> <3s>
geçti.	geç <adv> <Dan_0> <n> <cpl_di> <3p>
geçti.	geç <adv> <Dan_0> <n> <3p> <cpl_di>
geçti.	geç <v> <t_past> <3s>
geçti.	geç <v> <t_past> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
Bunca	bun <n> <D_CA> <adj> <Djn_0> <n>
Bunca	bun <n> <D_CA> <adj> <Djn_0> <n> <3s>
Bunca	bun <n> <D_CA> <adj> <Djn_0> <n> <3p>
Bunca	bun <n> <D_CA> <adv>
Bunca	bun <n> <D_CA> <adv> <Dan_0> <n>
Bunca	bun <n> <D_CA> <adv> <Dan_0> <n> <3s>
Bunca	bun <n> <D_CA> <adv> <Dan_0> <n> <3p>
Bunca	bun <n> <D_CA> <n>
Bunca	bun <n> <D_CA> <n> <3s>
Bunca	bun <n> <D_CA> <n> <3p>
Bunca	bun <n> <ca>
Bunca	bu <prn> <dem> <ca>
zaman	zaman <n> <3s>
zaman	zaman <n> <3p>
boyunca	boyun <n> <D_CA> <adj>
boyunca	boyun <n> <D_CA> <adj> <Djn_0> <n>
boyunca	boyun <n> <D_CA> <adj> <Djn_0> <n> <3s>
boyunca	boyun <n> <D_CA> <adj> <Djn_0> <n> <3p>
boyunca	boyun <n> <D_CA> <adv>
boyunca	boyun <n> <D_CA> <adv> <Dan_0> <n>
boyunca	boyun <n> <D_CA> <adv> <Dan_0> <n> <3s>
boyunca	boyun <n> <D_CA> <adv> <Dan_0> <n> <3p>
boyunca	boyun <n> <D_CA> <n>
boyunca	boyun <n> <D_CA> <n> <3s>
boyunca	boyun <n> <D_CA> <n> <3p>
boyunca	boyun <n> <ca>
boyunca	boy <n> <p2s> <ca>
boyunca	boy <n> <p3s> <ca>
Kraliçe,	kraliçe <n> <3s>
Kraliçe,	kraliçe <n> <3p>
Şapkacıya	şapka <n> <D_CI> <adj> <Djn_0> <n> <dat> <3s>
Şapkacıya	şapka <n> <D_CI> <adj> <Djn_0> <n> <dat> <3p>
Şapkacıya	şapka <n> <D_CI> <n> <dat>
Şapkacıya	şapka <n> <D_CI> <n> <dat> <3s>
Şapkacıya	şapka <n> <D_CI> <n> <dat> <3p>
bakıp	<unk>
durmayı	dur <v> <D_mA> <n> <acc> <3s>
durmayı	dur <v> <D_mA> <n> <acc> <3p>
durmayı	dur <v> <vn_ma> <acc>
durmayı	dur <v> <vn_ma> <acc> <3s>
durmayı	dur <v> <vn_ma> <acc> <3p>
durmayı	dur <v> <vn_mak> <acc>
durmayı	dur <v> <vn_mak> <acc> <3s>
durmayı	dur <v> <vn_mak> <acc> <3p>
durmayı	dur <v> <vinf> <p3s>
durmayı	dur <v> <vinf> <acc>
hiç	hiç <adv> <Dan_0> <n>
hiç	hiç <adv> <Dan_0> <n> <3s>
hiç	hiç <adv> <Dan_0> <n> <3p>
hiç	hiç <n>
hiç	hiç <n> <3s>
hiç	hiç <n> <3p>
bırakmamıştı.	bırak <v> <neg> <t_narr> <cpl_di> <3p>
bırakmamıştı.	bırak <v> <neg> <t_narr> <3p> <cpl_di>
</S> </S>+ESTag
<S> <S>+BSTag
Tarla	tarla <n> <3s>
Tarla	tarla <n> <3p>
Tarla	tar <n> <D_lA> <v> <t_imp> <2s>
Tarla	tar <n> <D_lA> <v> <t_imp> <3p>
Tarla	tar <n> <ins>
Tarla	tar <n> <ins> <3s>
Tarla	tar <n> <ins> <3p>
Faresi	fare <n> <p3s> <3s>
Faresi	fare <n> <p3s> <3p>
tam	tam <adj> <Djn_0> <n>
tam	tam <adj> <Djn_0> <n> <3s>
tam	tam <adj> <Djn_0> <n> <3p>
mahkeme	mahkeme <n> <3s>
mahkeme	mahkeme <n> <3p>
salonundan	salon <n> <p2s> <abl> <3s>
salonundan	salon <n> <p2s> <abl> <3p>
salonundan	salon <n> <p3s> <abl>
salonundan	salon <n> <p3s> <abl> <3s>
salonundan	salon <n> <p3s> <abl> <3p>
geçerken,	geçer <adj> <Djn_0> <n> <3p> <cpl_ken>
geçerken,	geç <v> <t_aor> <3s> <cpl_ken>
geçerken,	geç <v> <t_aor> <3p> <cpl_ken>
mahkeme	mahkeme <n> <3s>
mahkeme	mahkeme <n> <3p>
görevlilerinden	görev <n> <D_lI> <adj> <Djn_0> <n> <pl> <p2s> <abl> <3s>
görevlilerinden	görev <n> <D_lI> <adj> <Djn_0> <n> <pl> <p2s> <abl> <3p>
görevlilerinden	görev <n> <D_lI> <adj> <Djn_0> <n> <pl> <p3s> <abl>
görevlilerinden	görev <n> <D_lI> <adj> <Djn_0> <n> <pl> <p3s> <abl> <3s>
görevlilerinden	görev <n> <D_lI> <adj> <Djn_0> <n> <pl> <p3s> <abl> <3p>
görevlilerinden	görev <n> <D_lI> <adj> <Djn_0> <n> <p3p> <abl>
görevlilerinden	görev <n> <D_lI> <adj> <Djn_0> <n> <p3p> <abl> <3s>
görevlilerinden	görev <n> <D_lI> <adj> <Djn_0> <n> <p3p> <abl> <3p>
görevlilerinden	görev <n> <D_lI> <n> <pl> <p2s> <abl>
görevlilerinden	görev <n> <D_lI> <n> <pl> <p2s> <abl> <3s>
görevlilerinden	görev <n> <D_lI> <n> <pl> <p2s> <abl> <3p>
görevlilerinden	görev <n> <D_lI> <n> <pl> <p3s> <abl>
görevlilerinden	görev <n> <D_lI> <n> <pl> <p3s> <abl> <3s>
görevlilerinden	görev <n> <D_lI> <n> <pl> <p3s> <abl> <3p>
görevlilerinden	görev <n> <D_lI> <n> <p3p> <abl>
görevlilerinden	görev <n> <D_lI> <n> <p3p> <abl> <3s>
görevlilerinden	görev <n> <D_lI> <n> <p3p> <abl> <3p>
birine,	biri <n> <p2s> <dat> <3s>
birine,	biri <n> <p2s> <dat> <3p>
birine,	bir <adj> <Djn_0> <n> <p2s> <dat>
birine,	bir <adj> <Djn_0> <n> <p2s> <dat> <3s>
birine,	bir <adj> <Djn_0> <n> <p2s> <dat> <3p>
birine,	bir <adj> <Djn_0> <n> <p3s> <dat>
birine,	bir <adj> <Djn_0> <n> <p3s> <dat> <3s>
birine,	bir <adj> <Djn_0> <n> <p3s> <dat> <3p>
birine,	bir <num> <Dmn_0> <n> <p2s> <dat>
birine,	bir <num> <Dmn_0> <n> <p2s> <dat> <3s>
birine,	bir <num> <Dmn_0> <n> <p2s> <dat> <3p>
birine,	bir <num> <Dmn_0> <n> <p3s> <dat>
birine,	bir <num> <Dmn_0> <n> <p3s> <dat> <3s>
birine,	bir <num> <Dmn_0> <n> <p3s> <dat> <3p>
"Bana	ban <n> <dat> <3s>
"Bana	ban <n> <dat> <3p>
"Bana	ban <v> <t_opt> <3s>
"Bana	ban <v> <t_opt> <3p>
"Bana	ben <prn> <pers> <dat>
"Bana	ben <prn> <pers> <dat> <3s>
"Bana	ben <prn> <pers> <dat> <3p>
son	son <adj> <Djn_0> <n>
son	son <adj> <Djn_0> <n> <3s>
son	son <adj> <Djn_0> <n> <3p>
son	son <n>
son	son <n> <3s>
son	son <n> <3p>
konserdeki	konser <n> <loc> <ki> <3s>
konserdeki	konser <n> <loc> <ki> <3p>
şarkıcıların	şarkı <n> <D_CI> <adj> <Djn_0> <n> <pl> <p2s> <3s>
şarkıcıların	şarkı <n> <D_CI> <adj> <Djn_0> <n> <pl> <p2s> <3p>
şarkıcıların	şarkı <n> <D_CI> <adj> <Djn_0> <n> <pl> <gen>
şarkıcıların	şarkı <n> <D_CI> <adj> <Djn_0> <n> <pl> <gen> <3s>
şarkıcıların	şarkı <n> <D_CI> <adj> <Djn_0> <n> <pl> <gen> <3p>
şarkıcıların	şarkı <n> <D_CI> <n> <pl> <p2s>
şarkıcıların	şarkı <n> <D_CI> <n> <pl> <p2s> <3s>
şarkıcıların	şarkı <n> <D_CI> <n> <pl> <p2s> <3p>
şarkıcıların	şarkı <n> <D_CI> <n> <pl> <gen>
şarkıcıların	şarkı <n> <D_CI> <n> <pl> <gen> <3s>
şarkıcıların	şarkı <n> <D_CI> <n> <pl> <gen> <3p>
listesini	liste <n> <p3s> <acc> <3s>
listesini	liste <n> <p3s> <acc> <3p>
getir!"	getir <v> <t_imp> <3p>
dedi.	de <v> <t_past> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
Şapkacı	şapka <n> <D_CI> <adj> <Djn_0> <n>
Şapkacı	şapka <n> <D_CI> <adj> <Djn_0> <n> <3s>
Şapkacı	şapka <n> <D_CI> <adj> <Djn_0> <n> <3p>
Şapkacı	şapka <n> <D_CI> <n>
Şapkacı	şapka <n> <D_CI> <n> <3s>
Şapkacı	şapka <n> <D_CI> <n> <3p>
öyle	öyle <adj> <Djn_0> <n>
öyle	öyle <adj> <Djn_0> <n> <3s>
öyle	öyle <adj> <Djn_0> <n> <3p>
öyle	öyle <adv>
öyle	öyle <adv> <Dan_0> <n>
öyle	öyle <adv> <Dan_0> <n> <3s>
öyle	öyle <adv> <Dan_0> <n> <3p>
öyle	öyle <ij>
titredi	titre <v> <t_past> <3p>
ki,	ki <cnjadv>
iki	iki <num> <Dmn_0> <n>
iki	iki <num> <Dmn_0> <n> <3s>
iki	iki <num> <Dmn_0> <n> <3p>
ayakkabısını	ayakkabı <n> <p3s> <acc> <3s>
ayakkabısını	ayakkabı <n> <p3s> <acc> <3p>
da	<unk>
salladı.	salla <v> <t_past> <3p>
salladı.	sal <n> <D_lA> <v> <t_past> <3s>
salladı.	sal <n> <D_lA> <v> <t_past> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
Kral	kral <n> <3s>
Kral	kral <n> <3p>
öfkeyle,	öfke <n> <ins> <3s>
öfkeyle,	öfke <n> <ins> <3p>
"İfadeni	<unk>
ver,"	ver <v> <t_imp> <3p>
dedi,	de <v> <t_past> <3p>
"yoksa	yok <adj> <Djn_0> <n> <cpl_sa> <3p>
"yoksa	yok <adj> <Djn_0> <n> <3p> <cpl_sa>
"yoksa	yok <adv> <Dan_0> <n> <cpl_sa> <3s>
"yoksa	yok <adv> <Dan_0> <n> <cpl_sa> <3p>
"yoksa	yok <adv> <Dan_0> <n> <3p> <cpl_sa>
"yoksa	yok <nexist> <cpl_sa> <3s>
"yoksa	yok <nexist> <cpl_sa> <3p>
"yoksa	yok <nexist> <3p> <cpl_sa>
seni	sen <prn> <pers> <p3s> <3s>
seni	sen <prn> <pers> <p3s> <3p>
seni	sen <prn> <pers> <acc>
seni	sen <prn> <pers> <acc> <3s>
seni	sen <prn> <pers> <acc> <3p>
idam	idam <n> <3s>
idam	idam <n> <3p>
ettiririm,	<unk>
ister	ister <n> <3s>
ister	ister <n> <3p>
ister	ister <cnjadv>
ister	iste <v> <t_aor> <3s>
ister	iste <v> <t_aor> <3p>
gergin	gergin <adj> <Djn_0> <n>
gergin	gergin <adj> <Djn_0> <n> <3s>
gergin	gergin <adj> <Djn_0> <n> <3p>
