<S> <S>+BSTag
"Bunu	bun <n> <p3s> <3s>
"Bunu	bun <n> <p3s> <3p>
"Bunu	bun <n> <acc>
"Bunu	bun <n> <acc> <3s>
"Bunu	bun <n> <acc> <3p>
"Bunu	bu <prn> <dem> <p3s>
"Bunu	bu <prn> <dem> <p3s> <3s>
"Bunu	bu <prn> <dem> <p3s> <3p>
"Bunu	bu <prn> <dem> <acc>
"Bunu	bu <prn> <dem> <acc> <3s>
"Bunu	bu <prn> <dem> <acc> <3p>
ben	ben <prn> <pers> <3s>
ben	ben <prn> <pers> <3p>
yazmadım,	<unk>
benim	ben <prn> <pers> <p1s>
benim	ben <prn> <pers> <p1s> <3s>
benim	ben <prn> <pers> <p1s> <3p>
yazdığımı	yaz <v> <vn_dik> <p1s> <acc> <3s>
yazdığımı	yaz <v> <vn_dik> <p1s> <acc> <3p>
yazdığımı	yaz <v> <part_dik> <p1s> <acc>
yazdığımı	yaz <v> <part_dik> <p1s> <acc> <3s>
yazdığımı	yaz <v> <part_dik> <p1s> <acc> <3p>
da	<unk>
kanıtlayamazlar.	kanıt <n> <D_lA> <v> <abil> <neg> <t_aor> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
Sonunda	sonunda <adv> <Dan_0> <n>
Sonunda	sonunda <adv> <Dan_0> <n> <3s>
Sonunda	sonunda <adv> <Dan_0> <n> <3p>
Sonunda	son <adj> <Djn_0> <n> <p2s> <loc>
Sonunda	son <adj> <Djn_0> <n> <p2s> <loc> <3s>
Sonunda	son <adj> <Djn_0> <n> <p2s> <loc> <3p>
Sonunda	son <adj> <Djn_0> <n> <p3s> <loc>
Sonunda	son <adj> <Djn_0> <n> <p3s> <loc> <3s>
Sonunda	son <adj> <Djn_0> <n> <p3s> <loc> <3p>
Sonunda	son <n> <p2s> <loc>
Sonunda	son <n> <p2s> <loc> <3s>
Sonunda	son <n> <p2s> <loc> <3p>
Sonunda	son <n> <p3s> <loc>
Sonunda	son <n> <p3s> <loc> <3s>
Sonunda	son <n> <p3s> <loc> <3p>
imza	imza <n> <3s>
imza	imza <n> <3p>
falan	falan <n> <3s>
falan	falan <n> <3p>
falan	fa <n> <D_lAn> <v> <t_imp> <2s>
falan	fa <n> <D_lAn> <v> <t_imp> <3p>
yok."	yok <adj> <Djn_0> <n>
yok."	yok <adj> <Djn_0> <n> <3s>
yok."	yok <adj> <Djn_0> <n> <3p>
yok."	yok <adv>
yok."	yok <adv> <Dan_0> <n>
yok."	yok <adv> <Dan_0> <n> <3s>
