<S> <S>+BSTag
"O	o <prn> <pers> <3s>
"O	o <prn> <pers> <3p>
"O	o <ij>
"O	o <det>
çorbada	çorba <n> <loc> <3s>
çorbada	çorba <n> <loc> <3p>
kesinlikle	kesin <adj> <D_lIK> <n> <D_lA> <v> <t_imp> <3p>
kesinlikle	kesin <adj> <D_lIK> <n> <ins>
kesinlikle	kesin <adj> <D_lIK> <n> <ins> <3s>
kesinlikle	kesin <adj> <D_lIK> <n> <ins> <3p>
kesinlikle	kesin <adj> <Djn_0> <n> <D_lIK> <n> <D_lA> <v> <t_imp> <2s>
kesinlikle	kesin <adj> <Djn_0> <n> <D_lIK> <n> <D_lA> <v> <t_imp> <3p>
kesinlikle	kesin <adj> <Djn_0> <n> <D_lIK> <n> <ins>
kesinlikle	kesin <adj> <Djn_0> <n> <D_lIK> <n> <ins> <3s>
kesinlikle	kesin <adj> <Djn_0> <n> <D_lIK> <n> <ins> <3p>
çok	çok <adj> <Djn_0> <n>
çok	çok <adj> <Djn_0> <n> <3s>
çok	çok <adj> <Djn_0> <n> <3p>
çok	çok <adv>
çok	çok <adv> <Dan_0> <n>
çok	çok <adv> <Dan_0> <n> <3s>
çok	çok <adv> <Dan_0> <n> <3p>
çok	çok <det>
fazla	fazla <adj> <Djn_0> <n>
fazla	fazla <adj> <Djn_0> <n> <3s>
fazla	fazla <adj> <Djn_0> <n> <3p>
fazla	fazla <adv>
fazla	fazla <adv> <Dan_0> <n>
fazla	fazla <adv> <Dan_0> <n> <3s>
fazla	fazla <adv> <Dan_0> <n> <3p>
fazla	fazla <det>
fazla	faz <n> <D_lA> <v> <t_imp> <2s>
fazla	faz <n> <D_lA> <v> <t_imp> <3p>
fazla	faz <n> <ins>
fazla	faz <n> <ins> <3s>
fazla	faz <n> <ins> <3p>
biber	biber <n> <3s>
biber	biber <n> <3p>
var!"	var <n> <3s>
var!"	var <n> <3p>
var!"	var <v> <t_imp> <2s>
var!"	var <v> <t_imp> <3p>
var!"	var <exist> <3s>
var!"	var <exist> <3p>
dedi	de <v> <t_past> <3p>
Alice	ali <n> <D_CA> <adj> <Djn_0> <n>
Alice	ali <n> <D_CA> <adj> <Djn_0> <n> <3s>
Alice	ali <n> <D_CA> <adj> <Djn_0> <n> <3p>
Alice	ali <n> <D_CA> <adv>
Alice	ali <n> <D_CA> <adv> <Dan_0> <n>
Alice	ali <n> <D_CA> <adv> <Dan_0> <n> <3s>
Alice	ali <n> <D_CA> <adv> <Dan_0> <n> <3p>
Alice	ali <n> <D_CA> <n>
Alice	ali <n> <D_CA> <n> <3s>
Alice	ali <n> <D_CA> <n> <3p>
kendi	kendi <n> <3s>
kendi	kendi <n> <3p>
kendi	kendi <prn>
kendi	kendi <prn> <3s>
kendi	kendi <prn> <3p>
kendine,	kendi <n> <p2s> <dat> <3s>
kendine,	kendi <n> <p2s> <dat> <3p>
kendine,	kendi <prn> <p2s> <dat>
kendine,	kendi <prn> <p2s> <dat> <3s>
kendine,	kendi <prn> <p2s> <dat> <3p>
hapşırmaktan	hapşır <v> <vn_mak> <abl> <3s>
hapşırmaktan	hapşır <v> <vn_mak> <abl> <3p>
hapşırmaktan	hapşır <v> <vinf> <abl>
hapşırmaktan	hapşır <v> <cv_mak> <abl>
elinden	el <n> <p2s> <abl> <3s>
elinden	el <n> <p2s> <abl> <3p>
elinden	el <n> <p3s> <abl>
elinden	el <n> <p3s> <abl> <3s>
elinden	el <n> <p3s> <abl> <3p>
geldiğince.	<unk>
</S> </S>+ESTag
<S> <S>+BSTag
Havada	hava <n> <loc> <3s>
Havada	hava <n> <loc> <3p>
kesinlikle	kesin <adj> <D_lIK> <n> <D_lA> <v> <t_imp> <3p>
kesinlikle	kesin <adj> <D_lIK> <n> <ins>
kesinlikle	kesin <adj> <D_lIK> <n> <ins> <3s>
kesinlikle	kesin <adj> <D_lIK> <n> <ins> <3p>
kesinlikle	kesin <adj> <Djn_0> <n> <D_lIK> <n> <D_lA> <v> <t_imp> <2s>
kesinlikle	kesin <adj> <Djn_0> <n> <D_lIK> <n> <D_lA> <v> <t_imp> <3p>
kesinlikle	kesin <adj> <Djn_0> <n> <D_lIK> <n> <ins>
kesinlikle	kesin <adj> <Djn_0> <n> <D_lIK> <n> <ins> <3s>
kesinlikle	kesin <adj> <Djn_0> <n> <D_lIK> <n> <ins> <3p>
çok	çok <adj> <Djn_0> <n>
çok	çok <adj> <Djn_0> <n> <3s>
çok	çok <adj> <Djn_0> <n> <3p>
çok	çok <adv>
çok	çok <adv> <Dan_0> <n>
çok	çok <adv> <Dan_0> <n> <3s>
çok	çok <adv> <Dan_0> <n> <3p>
çok	çok <det>
fazla	fazla <adj> <Djn_0> <n>
fazla	fazla <adj> <Djn_0> <n> <3s>
fazla	fazla <adj> <Djn_0> <n> <3p>
fazla	fazla <adv>
fazla	fazla <adv> <Dan_0> <n>
fazla	fazla <adv> <Dan_0> <n> <3s>
fazla	fazla <adv> <Dan_0> <n> <3p>
fazla	fazla <det>
fazla	faz <n> <D_lA> <v> <t_imp> <2s>
fazla	faz <n> <D_lA> <v> <t_imp> <3p>
fazla	faz <n> <ins>
fazla	faz <n> <ins> <3s>
fazla	faz <n> <ins> <3p>
vardı.	varit <n> <p3s> <3s>
vardı.	varit <n> <p3s> <3p>
vardı.	varit <n> <acc>
vardı.	varit <n> <acc> <3s>
vardı.	varit <n> <acc> <3p>
vardı.	var <n> <cpl_di> <3s>
vardı.	var <n> <cpl_di> <3p>
vardı.	var <n> <3p> <cpl_di>
vardı.	var <v> <t_past> <3s>
vardı.	var <v> <t_past> <3p>
vardı.	var <exist> <cpl_di> <3s>
vardı.	var <exist> <cpl_di> <3p>
vardı.	var <exist> <3p> <cpl_di>
</S> </S>+ESTag
<S> <S>+BSTag
Düşes	düşes <n> <3s>
Düşes	düşes <n> <3p>
bile	bile <cnjadv>
bile	bil <v> <t_opt> <3s>
bile	bil <v> <t_opt> <3p>
ara	ara <adj> <Djn_0> <n>
ara	ara <adj> <Djn_0> <n> <3s>
ara	ara <adj> <Djn_0> <n> <3p>
ara	ara <n>
ara	ara <n> <3s>
ara	ara <n> <3p>
ara	ara <v> <t_imp> <2s>
ara	ara <v> <t_imp> <3p>
ara	ar <n> <dat>
ara	ar <n> <dat> <3s>
ara	ar <n> <dat> <3p>
sıra	sıra <n> <3s>
sıra	sıra <n> <3p>
sıra	sır <n> <dat>
sıra	sır <n> <dat> <3s>
sıra	sır <n> <dat> <3p>
hapşırıyordu;	hapşır <v> <t_cont> <cpl_di> <3p>
hapşırıyordu;	hapşır <v> <t_cont> <3p> <cpl_di>
bebeğe	bebek <n> <dat> <3s>
bebeğe	bebek <n> <dat> <3p>
gelince,	gelin <n> <D_CA> <adj> <Djn_0> <n>
gelince,	gelin <n> <D_CA> <adj> <Djn_0> <n> <3s>
gelince,	gelin <n> <D_CA> <adj> <Djn_0> <n> <3p>
gelince,	gelin <n> <D_CA> <adv>
gelince,	gelin <n> <D_CA> <adv> <Dan_0> <n>
gelince,	gelin <n> <D_CA> <adv> <Dan_0> <n> <3s>
gelince,	gelin <n> <D_CA> <adv> <Dan_0> <n> <3p>
gelince,	gelin <n> <D_CA> <n>
gelince,	gelin <n> <D_CA> <n> <3s>
gelince,	gelin <n> <D_CA> <n> <3p>
gelince,	gelin <n> <ca>
gelince,	gel <v> <cv_ince>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
an	an <n> <3s>
an	an <n> <3p>
an	an <v> <t_imp> <2s>
an	an <v> <t_imp> <3p>
bile	bile <cnjadv>
bile	bil <v> <t_opt> <3s>
bile	bil <v> <t_opt> <3p>
duraksamadan	duraksa <v> <D_mA> <n> <abl> <3s>
duraksamadan	duraksa <v> <D_mA> <n> <abl> <3p>
duraksamadan	duraksa <v> <neg> <cv_dan>
duraksamadan	duraksa <v> <vn_ma> <abl>
duraksamadan	duraksa <v> <vn_ma> <abl> <3s>
duraksamadan	duraksa <v> <vn_ma> <abl> <3p>
sırayla	sıra <n> <ins> <3s>
sırayla	sıra <n> <ins> <3p>
hapşırıyor	hapşır <v> <t_cont> <3p>
hapşırıyor	hapşır <v> <cv_iyor>
ve	ve <cnjadv>
uluyordu.	ula <v> <t_cont> <cpl_di> <3p>
uluyordu.	ula <v> <t_cont> <3p> <cpl_di>
uluyordu.	ulu <v> <t_cont> <cpl_di> <3s>
