<S> <S>+BSTag
"Hadi,	<unk>
kobaylar	kobay <n> <D_lA> <v> <t_aor> <3p>
kobaylar	kobay <n> <3p>
kobaylar	kobay <n> <pl>
kobaylar	kobay <n> <pl> <3s>
kobaylar	kobay <n> <pl> <3p>
bitti!"	bit <n> <cpl_di> <3p>
bitti!"	bit <n> <3p> <cpl_di>
bitti!"	bit <v> <t_past> <3s>
bitti!"	bit <v> <t_past> <3p>
diye	de <v> <t_opt> <3p>
diye	diye <cnjsub>
düşündü	düşün <n> <cpl_di> <3p>
düşündü	düşün <n> <3p> <cpl_di>
düşündü	düşün <v> <t_past> <3s>
düşündü	düşün <v> <t_past> <3p>
düşündü	düş <n> <p2s> <cpl_di> <3s>
düşündü	düş <n> <p2s> <cpl_di> <3p>
düşündü	düş <n> <p2s> <3p> <cpl_di>
düşündü	düş <n> <gen> <cpl_di> <3s>
düşündü	düş <n> <gen> <cpl_di> <3p>
düşündü	düş <n> <gen> <3p> <cpl_di>
Alice.	ali <n> <D_CA> <adj> <Djn_0> <n>
Alice.	ali <n> <D_CA> <adj> <Djn_0> <n> <3s>
Alice.	ali <n> <D_CA> <adj> <Djn_0> <n> <3p>
Alice.	ali <n> <D_CA> <adv>
Alice.	ali <n> <D_CA> <adv> <Dan_0> <n>
Alice.	ali <n> <D_CA> <adv> <Dan_0> <n> <3s>
Alice.	ali <n> <D_CA> <adv> <Dan_0> <n> <3p>
Alice.	ali <n> <D_CA> <n>
Alice.	ali <n> <D_CA> <n> <3s>
Alice.	ali <n> <D_CA> <n> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
"Şimdi	şimdi <adv> <Dan_0> <n>
"Şimdi	şimdi <adv> <Dan_0> <n> <3s>
"Şimdi	şimdi <adv> <Dan_0> <n> <3p>
daha	daha <adv> <Dan_0> <n>
daha	daha <adv> <Dan_0> <n> <3s>
daha	daha <adv> <Dan_0> <n> <3p>
daha	daha <n>
daha	daha <n> <3s>
daha	daha <n> <3p>
iyi	iyi <adj> <Djn_0> <n>
iyi	iyi <adj> <Djn_0> <n> <3s>
iyi	iyi <adj> <Djn_0> <n> <3p>
iyi	iyi <adv>
iyi	iyi <adv> <Dan_0> <n>
iyi	iyi <adv> <Dan_0> <n> <3s>
iyi	iyi <adv> <Dan_0> <n> <3p>
anlaşacağız."	anlaş <v> <vn_acak> <1p>
anlaşacağız."	anlaş <v> <part_acak> <1p>
anlaşacağız."	an <n> <D_lAs> <v> <t_fut> <1p>
anlaşacağız."	an <n> <D_lAs> <v> <vn_acak> <1p>
anlaşacağız."	an <n> <D_lAs> <v> <part_acak> <1p>
"Çayımı	çay <n> <p1s> <acc> <3s>
"Çayımı	çay <n> <p1s> <acc> <3p>
bitirmeyi	bit <v> <caus> <vn_ma> <acc> <3s>
bitirmeyi	bit <v> <caus> <vn_ma> <acc> <3p>
bitirmeyi	bit <v> <caus> <vn_mak> <acc>
bitirmeyi	bit <v> <caus> <vn_mak> <acc> <3s>
bitirmeyi	bit <v> <caus> <vn_mak> <acc> <3p>
bitirmeyi	bit <v> <caus> <vinf> <p3s>
bitirmeyi	bit <v> <caus> <vinf> <acc>
tercih	tercih <n> <3s>
tercih	tercih <n> <3p>
ederim,"	eder <n> <p1s>
ederim,"	eder <n> <p1s> <3s>
ederim,"	eder <n> <p1s> <3p>
ederim,"	et <v> <t_aor> <1s>
dedi	de <v> <t_past> <3p>
Şapkacı,	şapka <n> <D_CI> <adj> <Djn_0> <n>
Şapkacı,	şapka <n> <D_CI> <adj> <Djn_0> <n> <3s>
Şapkacı,	şapka <n> <D_CI> <adj> <Djn_0> <n> <3p>
Şapkacı,	şapka <n> <D_CI> <n>
Şapkacı,	şapka <n> <D_CI> <n> <3s>
Şapkacı,	şapka <n> <D_CI> <n> <3p>
şarkıcıların	şarkı <n> <D_CI> <adj> <Djn_0> <n> <pl> <p2s> <3s>
şarkıcıların	şarkı <n> <D_CI> <adj> <Djn_0> <n> <pl> <p2s> <3p>
şarkıcıların	şarkı <n> <D_CI> <adj> <Djn_0> <n> <pl> <gen>
şarkıcıların	şarkı <n> <D_CI> <adj> <Djn_0> <n> <pl> <gen> <3s>
şarkıcıların	şarkı <n> <D_CI> <adj> <Djn_0> <n> <pl> <gen> <3p>
şarkıcıların	şarkı <n> <D_CI> <n> <pl> <p2s>
şarkıcıların	şarkı <n> <D_CI> <n> <pl> <p2s> <3s>
şarkıcıların	şarkı <n> <D_CI> <n> <pl> <p2s> <3p>
şarkıcıların	şarkı <n> <D_CI> <n> <pl> <gen>
şarkıcıların	şarkı <n> <D_CI> <n> <pl> <gen> <3s>
şarkıcıların	şarkı <n> <D_CI> <n> <pl> <gen> <3p>
listesini	liste <n> <p3s> <acc> <3s>
listesini	liste <n> <p3s> <acc> <3p>
okuyan	oku <v> <part_yan> <3s>
okuyan	oku <v> <part_yan> <3p>
Kraliçe'ye	kraliçe <n> <dat> <3s>
Kraliçe'ye	kraliçe <n> <dat> <3p>
endişeli	endişe <n> <D_lI> <adj> <Djn_0> <n>
endişeli	endişe <n> <D_lI> <adj> <Djn_0> <n> <3s>
endişeli	endişe <n> <D_lI> <adj> <Djn_0> <n> <3p>
endişeli	endişe <n> <D_lI> <n>
endişeli	endişe <n> <D_lI> <n> <3s>
endişeli	endişe <n> <D_lI> <n> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
bakış	bakış <n> <3s>
bakış	bakış <n> <3p>
bakış	bak <v> <D_yIS> <n>
bakış	bak <v> <D_yIS> <n> <3s>
bakış	bak <v> <D_yIS> <n> <3p>
bakış	bak <v> <vn_yis>
bakış	bak <v> <vn_yis> <3s>
bakış	bak <v> <vn_yis> <3p>
atarak.	<unk>
</S> </S>+ESTag
<S> <S>+BSTag
"Gidebilirsin,"	<unk>
dedi	de <v> <t_past> <3p>
Kral	kral <n> <3s>
Kral	kral <n> <3p>
ve	ve <cnjadv>
Şapkacı	şapka <n> <D_CI> <adj> <Djn_0> <n>
Şapkacı	şapka <n> <D_CI> <adj> <Djn_0> <n> <3s>
Şapkacı	şapka <n> <D_CI> <adj> <Djn_0> <n> <3p>
Şapkacı	şapka <n> <D_CI> <n>
Şapkacı	şapka <n> <D_CI> <n> <3s>
Şapkacı	şapka <n> <D_CI> <n> <3p>
aceleyle	acele <adj> <Djn_0> <n> <ins> <3s>
aceleyle	acele <adj> <Djn_0> <n> <ins> <3p>
aceleyle	acele <adv> <Dan_0> <n> <ins>
aceleyle	acele <adv> <Dan_0> <n> <ins> <3s>
aceleyle	acele <adv> <Dan_0> <n> <ins> <3p>
mahkemeyi	mahkeme <n> <acc> <3s>
mahkemeyi	mahkeme <n> <acc> <3p>
terk	terk <n> <3s>
terk	terk <n> <3p>
etti,	et <n> <cpl_di> <3p>
etti,	et <n> <3p> <cpl_di>
etti,	et <v> <t_past> <3s>
etti,	et <v> <t_past> <3p>
ayakkabılarını	ayakkabı <n> <pl> <p2s> <acc> <3s>
ayakkabılarını	ayakkabı <n> <pl> <p2s> <acc> <3p>
ayakkabılarını	ayakkabı <n> <pl> <p3s> <acc>
ayakkabılarını	ayakkabı <n> <pl> <p3s> <acc> <3s>
ayakkabılarını	ayakkabı <n> <pl> <p3s> <acc> <3p>
ayakkabılarını	ayakkabı <n> <p3p> <acc>
ayakkabılarını	ayakkabı <n> <p3p> <acc> <3s>
