<S> <S>+BSTag
"Gündüz	gündüz <n> <3s>
"Gündüz	gündüz <n> <3p>
ve	ve <cnjadv>
geceyle	gece <n> <ins> <3s>
geceyle	gece <n> <ins> <3p>
ne	ne <prn> <qst> <3s>
ne	ne <prn> <qst> <3p>
ne	ne <cnjcoo>
işe	işe <v> <t_imp> <3p>
işe	iş <n> <dat>
işe	iş <n> <dat> <3s>
işe	iş <n> <dat> <3p>
yarayacağını	yara <v> <vn_acak> <p2s> <acc> <3s>
yarayacağını	yara <v> <vn_acak> <p2s> <acc> <3p>
yarayacağını	yara <v> <vn_acak> <p3s> <acc>
yarayacağını	yara <v> <vn_acak> <p3s> <acc> <3s>
yarayacağını	yara <v> <vn_acak> <p3s> <acc> <3p>
yarayacağını	yara <v> <part_acak> <p2s> <acc>
yarayacağını	yara <v> <part_acak> <p2s> <acc> <3s>
yarayacağını	yara <v> <part_acak> <p2s> <acc> <3p>
yarayacağını	yara <v> <part_acak> <p3s> <acc>
yarayacağını	yara <v> <part_acak> <p3s> <acc> <3s>
yarayacağını	yara <v> <part_acak> <p3s> <acc> <3p>
düşün!	düşün <n> <3s>
düşün!	düşün <n> <3p>
düşün!	düşün <v> <t_imp> <2s>
düşün!	düşün <v> <t_imp> <3p>
düşün!	düş <n> <p2s>
düşün!	düş <n> <p2s> <3s>
düşün!	düş <n> <p2s> <3p>
düşün!	düş <n> <gen>
düşün!	düş <n> <gen> <3s>
düşün!	düş <n> <gen> <3p>
düşün!	düş <v> <t_imp> <2p>
</S> </S>+ESTag
<S> <S>+BSTag
Görüyorsunuz,	<unk>
dünyanın	dünya <n> <p2s> <gen> <3s>
dünyanın	dünya <n> <p2s> <gen> <3p>
dünyanın	dünya <n> <gen>
dünyanın	dünya <n> <gen> <3s>
dünyanın	dünya <n> <gen> <3p>
ekseninde	eksen <n> <p2s> <loc> <3s>
ekseninde	eksen <n> <p2s> <loc> <3p>
ekseninde	eksen <n> <p3s> <loc>
ekseninde	eksen <n> <p3s> <loc> <3s>
ekseninde	eksen <n> <p3s> <loc> <3p>
dönmesi	dönme <n> <p3s> <3s>
dönmesi	dönme <n> <p3s> <3p>
dönmesi	dön <v> <D_mA> <n> <p3s>
dönmesi	dön <v> <D_mA> <n> <p3s> <3s>
dönmesi	dön <v> <D_mA> <n> <p3s> <3p>
dönmesi	dön <v> <vn_ma> <p3s>
dönmesi	dön <v> <vn_ma> <p3s> <3s>
dönmesi	dön <v> <vn_ma> <p3s> <3p>
dönmesi	dön <v> <cv_ma> <p3s>
yirmi	yirmi <n> <3s>
yirmi	yirmi <n> <3p>
yirmi	yirmi <num>
yirmi	yirmi <num> <Dmn_0> <n>
yirmi	yirmi <num> <Dmn_0> <n> <3s>
yirmi	yirmi <num> <Dmn_0> <n> <3p>
dört	dört <n> <3s>
dört	dört <n> <3p>
dört	dört <num>
dört	dört <num> <Dmn_0> <n>
dört	dört <num> <Dmn_0> <n> <3s>
dört	dört <num> <Dmn_0> <n> <3p>
saat	saat <n> <3s>
saat	saat <n> <3p>
sürüyor"	sürü <v> <t_cont> <3p>
sürüyor"	sürü <v> <cv_iyor>
sürüyor"	sür <v> <t_cont> <3s>
sürüyor"	sür <v> <t_cont> <3p>
sürüyor"	sür <v> <cv_iyor>
"	<unk>
Baltalardan	balta <n> <pl> <abl> <3s>
Baltalardan	balta <n> <pl> <abl> <3p>
bahsetmişken,"	bahset <v> <t_narr> <3p> <cpl_ken>
dedi	de <v> <t_past> <3p>
Düşes,	düşes <n> <3s>
Düşes,	düşes <n> <3p>
"kafasını	kafa <n> <p3s> <acc> <3s>
"kafasını	kafa <n> <p3s> <acc> <3p>
kes!"	kes <n> <3s>
kes!"	kes <n> <3p>
kes!"	kes <v> <t_imp> <2s>
kes!"	kes <v> <t_imp> <3p>
Alice,	ali <n> <D_CA> <adj> <Djn_0> <n>
Alice,	ali <n> <D_CA> <adj> <Djn_0> <n> <3s>
Alice,	ali <n> <D_CA> <adj> <Djn_0> <n> <3p>
Alice,	ali <n> <D_CA> <adv>
Alice,	ali <n> <D_CA> <adv> <Dan_0> <n>
Alice,	ali <n> <D_CA> <adv> <Dan_0> <n> <3s>
Alice,	ali <n> <D_CA> <adv> <Dan_0> <n> <3p>
Alice,	ali <n> <D_CA> <n>
Alice,	ali <n> <D_CA> <n> <3s>
Alice,	ali <n> <D_CA> <n> <3p>
ipucunu	<unk>
almak	al <v> <vn_mak> <3s>
almak	al <v> <vn_mak> <3p>
almak	al <v> <vinf>
almak	al <v> <cv_mak>
isteyip	<unk>
istemediğini	iste <v> <neg> <vn_dik> <p2s> <acc> <3s>
istemediğini	iste <v> <neg> <vn_dik> <p2s> <acc> <3p>
istemediğini	iste <v> <neg> <vn_dik> <p3s> <acc>
istemediğini	iste <v> <neg> <vn_dik> <p3s> <acc> <3s>
istemediğini	iste <v> <neg> <vn_dik> <p3s> <acc> <3p>
istemediğini	iste <v> <neg> <part_dik> <p2s> <acc>
istemediğini	iste <v> <neg> <part_dik> <p2s> <acc> <3s>
istemediğini	iste <v> <neg> <part_dik> <p2s> <acc> <3p>
istemediğini	iste <v> <neg> <part_dik> <p3s> <acc>
istemediğini	iste <v> <neg> <part_dik> <p3s> <acc> <3s>
istemediğini	iste <v> <neg> <part_dik> <p3s> <acc> <3p>
istemediğini	iste <v> <neg> <cv_dik> <p3s> <acc>
görmek	gör <v> <vn_mak> <3s>
görmek	gör <v> <vn_mak> <3p>
görmek	gör <v> <vinf>
görmek	gör <v> <cv_mak>
için	için <cnjcoo>
için	iç <adj> <Djn_0> <n> <p2s>
için	iç <adj> <Djn_0> <n> <p2s> <3s>
için	iç <adj> <Djn_0> <n> <p2s> <3p>
için	iç <adj> <Djn_0> <n> <gen>
için	iç <adj> <Djn_0> <n> <gen> <3s>
için	iç <adj> <Djn_0> <n> <gen> <3p>
için	iç <n> <p2s>
için	iç <n> <p2s> <3s>
için	iç <n> <p2s> <3p>
için	iç <n> <gen>
için	iç <n> <gen> <3s>
için	iç <n> <gen> <3p>
için	iç <v> <t_imp> <2p>
aşçıya	aşçı <n> <dat> <3s>
aşçıya	aşçı <n> <dat> <3p>
aşçıya	aş <n> <D_CI> <adj> <Djn_0> <n> <dat>
aşçıya	aş <n> <D_CI> <adj> <Djn_0> <n> <dat> <3s>
aşçıya	aş <n> <D_CI> <adj> <Djn_0> <n> <dat> <3p>
aşçıya	aş <n> <D_CI> <n> <dat>
aşçıya	aş <n> <D_CI> <n> <dat> <3s>
aşçıya	aş <n> <D_CI> <n> <dat> <3p>
aşçıya	aş <v> <D_CI> <n> <dat>
aşçıya	aş <v> <D_CI> <n> <dat> <3s>
aşçıya	aş <v> <D_CI> <n> <dat> <3p>
oldukça	<unk>
endişeyle	endişe <n> <ins> <3s>
endişeyle	endişe <n> <ins> <3p>
baktı;	bak <v> <t_past> <3p>
ama	ama <n> <3s>
ama	ama <n> <3p>
ama	ama <cnjcoo>
ama	ama <cnjadv>
aşçı	aşçı <n> <3s>
