<S> <S>+BSTag
"Ah!	ah <n> <3s>
"Ah!	ah <n> <3p>
"Ah!	ah <ij>
</S> </S>+ESTag
<S> <S>+BSTag
O	o <prn> <pers> <3s>
O	o <prn> <pers> <3p>
O	o <ij>
O	o <det>
zaman	zaman <n> <3s>
zaman	zaman <n> <3p>
seninki	sen <prn> <pers> <gen> <ki> <3s>
seninki	sen <prn> <pers> <gen> <ki> <3p>
gerçekten	gerçekten <adv> <Dan_0> <n>
gerçekten	gerçekten <adv> <Dan_0> <n> <3s>
gerçekten	gerçekten <adv> <Dan_0> <n> <3p>
gerçekten	gerçekte <adv> <Dan_0> <n> <p2s>
gerçekten	gerçekte <adv> <Dan_0> <n> <p2s> <3s>
gerçekten	gerçekte <adv> <Dan_0> <n> <p2s> <3p>
gerçekten	gerçek <n> <abl>
gerçekten	gerçek <n> <abl> <3s>
gerçekten	gerçek <n> <abl> <3p>
iyi	iyi <adj> <Djn_0> <n>
iyi	iyi <adj> <Djn_0> <n> <3s>
iyi	iyi <adj> <Djn_0> <n> <3p>
iyi	iyi <adv>
iyi	iyi <adv> <Dan_0> <n>
iyi	iyi <adv> <Dan_0> <n> <3s>
iyi	iyi <adv> <Dan_0> <n> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
okul	okul <n> <3s>
okul	okul <n> <3p>
değildi,"	değil <not> <cpl_di> <3p>
değildi,"	değil <not> <3p> <cpl_di>
değildi,"	değ <v> <pass> <t_past> <3s>
değildi,"	değ <v> <pass> <t_past> <3p>
dedi	de <v> <t_past> <3p>
Sahte	sahte <adj> <Djn_0> <n>
Sahte	sahte <adj> <Djn_0> <n> <3s>
Sahte	sahte <adj> <Djn_0> <n> <3p>
Kaplumbağa	kaplumbağa <n> <3s>
Kaplumbağa	kaplumbağa <n> <3p>
büyük	büyük <adj> <Djn_0> <n>
büyük	büyük <adj> <Djn_0> <n> <3s>
büyük	büyük <adj> <Djn_0> <n> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
rahatlama	rahatla <v> <D_mA> <n> <3s>
rahatlama	rahatla <v> <D_mA> <n> <3p>
rahatlama	rahatla <v> <neg> <t_imp> <2s>
rahatlama	rahatla <v> <neg> <t_imp> <3p>
rahatlama	rahatla <v> <vn_ma>
rahatlama	rahatla <v> <vn_ma> <3s>
rahatlama	rahatla <v> <vn_ma> <3p>
rahatlama	rahatla <v> <cv_ma>
rahatlama	rahat <adj> <D_lA> <v> <D_mA> <n>
rahatlama	rahat <adj> <D_lA> <v> <D_mA> <n> <3s>
rahatlama	rahat <adj> <D_lA> <v> <D_mA> <n> <3p>
rahatlama	rahat <adj> <D_lA> <v> <neg> <t_imp> <2s>
rahatlama	rahat <adj> <D_lA> <v> <neg> <t_imp> <3p>
rahatlama	rahat <adj> <D_lA> <v> <vn_ma>
rahatlama	rahat <adj> <D_lA> <v> <vn_ma> <3s>
rahatlama	rahat <adj> <D_lA> <v> <vn_ma> <3p>
rahatlama	rahat <adj> <D_lA> <v> <cv_ma>
rahatlama	rahat <adj> <Djn_0> <n> <D_lA> <v> <D_mA> <n>
rahatlama	rahat <adj> <Djn_0> <n> <D_lA> <v> <D_mA> <n> <3s>
rahatlama	rahat <adj> <Djn_0> <n> <D_lA> <v> <D_mA> <n> <3p>
rahatlama	rahat <adj> <Djn_0> <n> <D_lA> <v> <neg> <t_imp> <2s>
rahatlama	rahat <adj> <Djn_0> <n> <D_lA> <v> <neg> <t_imp> <3p>
rahatlama	rahat <adj> <Djn_0> <n> <D_lA> <v> <vn_ma>
rahatlama	rahat <adj> <Djn_0> <n> <D_lA> <v> <vn_ma> <3s>
rahatlama	rahat <adj> <Djn_0> <n> <D_lA> <v> <vn_ma> <3p>
rahatlama	rahat <adj> <Djn_0> <n> <D_lA> <v> <cv_ma>
tonuyla.	ton <n> <p3s> <ins> <3s>
tonuyla.	ton <n> <p3s> <ins> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
"Şimdi	şimdi <adv> <Dan_0> <n>
"Şimdi	şimdi <adv> <Dan_0> <n> <3s>
"Şimdi	şimdi <adv> <Dan_0> <n> <3p>
bizimkinde	bizimki <adj> <Djn_0> <n> <p2s> <loc> <3s>
bizimkinde	bizimki <adj> <Djn_0> <n> <p2s> <loc> <3p>
bizimkinde	bizimki <prn> <p2s> <loc>
bizimkinde	bizimki <prn> <p2s> <loc> <3s>
bizimkinde	bizimki <prn> <p2s> <loc> <3p>
faturanın	fatura <n> <p2s> <gen> <3s>
faturanın	fatura <n> <p2s> <gen> <3p>
faturanın	fatura <n> <gen>
faturanın	fatura <n> <gen> <3s>
faturanın	fatura <n> <gen> <3p>
sonunda	sonunda <adv> <Dan_0> <n>
sonunda	sonunda <adv> <Dan_0> <n> <3s>
sonunda	sonunda <adv> <Dan_0> <n> <3p>
sonunda	son <adj> <Djn_0> <n> <p2s> <loc>
sonunda	son <adj> <Djn_0> <n> <p2s> <loc> <3s>
sonunda	son <adj> <Djn_0> <n> <p2s> <loc> <3p>
sonunda	son <adj> <Djn_0> <n> <p3s> <loc>
sonunda	son <adj> <Djn_0> <n> <p3s> <loc> <3s>
sonunda	son <adj> <Djn_0> <n> <p3s> <loc> <3p>
sonunda	son <n> <p2s> <loc>
sonunda	son <n> <p2s> <loc> <3s>
sonunda	son <n> <p2s> <loc> <3p>
sonunda	son <n> <p3s> <loc>
sonunda	son <n> <p3s> <loc> <3s>
sonunda	son <n> <p3s> <loc> <3p>
'Fransızca,	<unk>
müzik	müzik <n> <3s>
müzik	müzik <n> <3p>
ve	ve <cnjadv>
çamaşır-ekstra'	<unk>
vardı."	varit <n> <p3s> <3s>
vardı."	varit <n> <p3s> <3p>
vardı."	varit <n> <acc>
vardı."	varit <n> <acc> <3s>
vardı."	varit <n> <acc> <3p>
vardı."	var <n> <cpl_di> <3s>
vardı."	var <n> <cpl_di> <3p>
vardı."	var <n> <3p> <cpl_di>
vardı."	var <v> <t_past> <3s>
vardı."	var <v> <t_past> <3p>
vardı."	var <exist> <cpl_di> <3s>
vardı."	var <exist> <cpl_di> <3p>
vardı."	var <exist> <3p> <cpl_di>
"Çok	çok <adj> <Djn_0> <n>
"Çok	çok <adj> <Djn_0> <n> <3s>
"Çok	çok <adj> <Djn_0> <n> <3p>
"Çok	çok <adv>
"Çok	çok <adv> <Dan_0> <n>
"Çok	çok <adv> <Dan_0> <n> <3s>
"Çok	çok <adv> <Dan_0> <n> <3p>
"Çok	çok <det>
istemiş	iste <v> <t_narr> <3p>
olamazsın,"	<unk>
dedi	de <v> <t_past> <3p>
Alice;	ali <n> <D_CA> <adj> <Djn_0> <n>
Alice;	ali <n> <D_CA> <adj> <Djn_0> <n> <3s>
Alice;	ali <n> <D_CA> <adj> <Djn_0> <n> <3p>
Alice;	ali <n> <D_CA> <adv>
Alice;	ali <n> <D_CA> <adv> <Dan_0> <n>
Alice;	ali <n> <D_CA> <adv> <Dan_0> <n> <3s>
Alice;	ali <n> <D_CA> <adv> <Dan_0> <n> <3p>
Alice;	ali <n> <D_CA> <n>
Alice;	ali <n> <D_CA> <n> <3s>
Alice;	ali <n> <D_CA> <n> <3p>
"denizin	deniz <n> <p2s> <3s>
"denizin	deniz <n> <p2s> <3p>
"denizin	deniz <n> <gen>
"denizin	deniz <n> <gen> <3s>
"denizin	deniz <n> <gen> <3p>
dibinde	dip <n> <p2s> <loc> <3s>
dibinde	dip <n> <p2s> <loc> <3p>
dibinde	dip <n> <p3s> <loc>
dibinde	dip <n> <p3s> <loc> <3s>
dibinde	dip <n> <p3s> <loc> <3p>
yaşamak."	yaşa <v> <vn_mak> <3s>
