<S> <S>+BSTag
"Her	<unk>
zamanki	<unk>
gibi	gibi <cnjsub>
ıslak,"	ıslak <adj> <Djn_0> <n>
ıslak,"	ıslak <adj> <Djn_0> <n> <3s>
ıslak,"	ıslak <adj> <Djn_0> <n> <3p>
dedi	de <v> <t_past> <3p>
Alice	ali <n> <D_CA> <adj> <Djn_0> <n>
Alice	ali <n> <D_CA> <adj> <Djn_0> <n> <3s>
Alice	ali <n> <D_CA> <adj> <Djn_0> <n> <3p>
Alice	ali <n> <D_CA> <adv>
Alice	ali <n> <D_CA> <adv> <Dan_0> <n>
Alice	ali <n> <D_CA> <adv> <Dan_0> <n> <3s>
Alice	ali <n> <D_CA> <adv> <Dan_0> <n> <3p>
Alice	ali <n> <D_CA> <n>
Alice	ali <n> <D_CA> <n> <3s>
Alice	ali <n> <D_CA> <n> <3p>
melankolik	melankolik <n> <3s>
melankolik	melankolik <n> <3p>
bir	bir <adj> <Djn_0> <n>
bir	bir <adj> <Djn_0> <n> <3s>
bir	bir <adj> <Djn_0> <n> <3p>
bir	bir <num>
bir	bir <num> <Dmn_0> <n>
bir	bir <num> <Dmn_0> <n> <3s>
bir	bir <num> <Dmn_0> <n> <3p>
bir	bir <det>
tonla:	ton <n> <D_lA> <v> <t_imp> <3p>
tonla:	ton <n> <ins>
tonla:	ton <n> <ins> <3s>
tonla:	ton <n> <ins> <3p>
"Beni	ben <prn> <pers> <p3s> <3s>
"Beni	ben <prn> <pers> <p3s> <3p>
"Beni	ben <prn> <pers> <acc>
"Beni	ben <prn> <pers> <acc> <3s>
"Beni	ben <prn> <pers> <acc> <3p>
hiç	hiç <adv> <Dan_0> <n>
hiç	hiç <adv> <Dan_0> <n> <3s>
hiç	hiç <adv> <Dan_0> <n> <3p>
hiç	hiç <n>
hiç	hiç <n> <3s>
hiç	hiç <n> <3p>
kurutmuyor	kuru <v> <caus> <neg> <t_cont> <3p>
kurutmuyor	kuru <v> <caus> <neg> <cv_iyor>
gibi	gibi <cnjsub>
görünüyor."	görün <v> <t_cont> <3p>
görünüyor."	görün <v> <cv_iyor>
"O	o <prn> <pers> <3s>
"O	o <prn> <pers> <3p>
"O	o <ij>
"O	o <det>
zaman,"	zaman <n> <3s>
zaman,"	zaman <n> <3p>
dedi	de <v> <t_past> <3p>
Dodo	<unk>
ciddiyetle,	ciddiyet <n> <D_lA> <v> <t_imp> <3p>
ciddiyetle,	ciddiyet <n> <ins>
ciddiyetle,	ciddiyet <n> <ins> <3s>
