<S> <S>+BSTag
"Kafasını	kafa <n> <p3s> <acc> <3s>
"Kafasını	kafa <n> <p3s> <acc> <3p>
koparın!"	<unk>
diye	de <v> <t_opt> <3p>
diye	diye <cnjsub>
Kraliçe	kraliçe <n> <3s>
Kraliçe	kraliçe <n> <3p>
sesinin	ses <n> <p2s> <gen> <3s>
sesinin	ses <n> <p2s> <gen> <3p>
sesinin	ses <n> <p3s> <gen>
sesinin	ses <n> <p3s> <gen> <3s>
sesinin	ses <n> <p3s> <gen> <3p>
en	en <adv> <Dan_0> <n>
en	en <adv> <Dan_0> <n> <3s>
en	en <adv> <Dan_0> <n> <3p>
en	en <n>
en	en <n> <3s>
en	en <n> <3p>
tepesinde	tepe <n> <p3s> <loc> <3s>
tepesinde	tepe <n> <p3s> <loc> <3p>
(var	var <n> <3s>
(var	var <n> <3p>
(var	var <v> <t_imp> <2s>
(var	var <v> <t_imp> <3p>
(var	var <exist> <3s>
(var	var <exist> <3p>
gücüyle)	gücü <n> <ins> <3s>
gücüyle)	gücü <n> <ins> <3p>
gücüyle)	güç <n> <p3s> <ins>
gücüyle)	güç <n> <p3s> <ins> <3s>
gücüyle)	güç <n> <p3s> <ins> <3p>
bağırdı.	bağır <n> <cpl_di> <3p>
bağırdı.	bağır <n> <3p> <cpl_di>
bağırdı.	bağır <v> <t_past> <3s>
bağırdı.	bağır <v> <t_past> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
Hiç	hiç <adv> <Dan_0> <n>
Hiç	hiç <adv> <Dan_0> <n> <3s>
Hiç	hiç <adv> <Dan_0> <n> <3p>
Hiç	hiç <n>
Hiç	hiç <n> <3s>
Hiç	hiç <n> <3p>
kimse	kimse <prn> <3s>
kimse	kimse <prn> <3p>
kimse	kim <prn> <qst> <cpl_sa> <3s>
kimse	kim <prn> <qst> <cpl_sa> <3p>
kimse	kim <prn> <qst> <3p> <cpl_sa>
hareket	hareket <n> <3s>
hareket	hareket <n> <3p>
etmedi.	et <v> <neg> <t_past> <3p>
</S> </S>+ESTag
<S> <S>+BSTag
